_id,SKUCode,multiCode,vendorCode,majorCode,colorCode,finishCode,image[0],isDeleted,__v
643dabf1528fff8354d9e42a,50-17288,50-00154-EMR-R-RW,EMR,50,R,RW,05017288.jpg,,
643dabf1528fff8354d9e491,75-20651,75-00257-EMR-Y-TT,EMR,75,Y,TT,07520651.jpg,,
643dabf1528fff8354d9e3c0,30-21733,30-00048-UG-W-W,UG,30,W,W,03021733.jpg,,
643dabf1528fff8354d9e39b,23-04144,23-00011-EMR-Y-Y,EMR,23,Y,Y,02304144.jpg,,
643dabf1528fff8354d9e45f,70-16578,70-00207-EMR-Y-Y,EMR,70,Y,Y,07016578.jpg,,
643dabf1528fff8354d9e3a3,29-11345,29-00019-UG-Y-Y,UG,29,Y,Y,02911345.jpg,,
643dabf1528fff8354d9e3af,30-19333,30-00031-UG-Y-TT,UG,30,Y,TT,03019333.jpg,,
643dabf1528fff8354d9e449,60-14957,60-00185-UG-Y-Y,UG,60,Y,Y,06014957.jpg,,
643dabf1528fff8354d9e4a0,78-03185,78-00272-EMR-Y-TT,EMR,78,Y,TT,07803185.jpg,,
643dabf1528fff8354d9e577,380-01988,380-00490-GS-Y-Y,GS,380,Y,Y,38001988.jpg,,
643dabf1528fff8354d9e44d,60-15995,60-00189-UG-Y-TT,UG,60,Y,TT,06015995.jpg,,
643dabf1528fff8354d9e48d,75-20265,75-00253-EMR-Y-MNC,EMR,75,Y,,07520265.jpg,,
643dabf1528fff8354d9e511,90-09821,90-00385-BLJ-Y-Y,BLJ,90,Y,Y,09009821.jpg,,
643dabf1528fff8354d9e543,95-07780,95-00435-EMR-Y-TT,EMR,95,Y,TT,09507780.jpg,,
643dabf1528fff8354d9e43b,52-02772,52-00171-SCS-Y-TT,SCS,52,Y,TT,05202772.jpg,,
643dabf1528fff8354d9e503,85-31502,85-00371-SRY-Y-Y,SRY,85,Y,Y,08531502.jpg,,
643dabf1528fff8354d9e3bf,30-21695,30-00047-UG-Y-TT,UG,30,Y,TT,03021695.jpg,,
643dabf1528fff8354d9e534,90-12375,90-00420-RHC-Y-Y,RHC,90,Y,Y,09012375.jpg,,
643dabf1528fff8354d9e46a,72-01320,72-00218-DP-Y-TT,DP,72,Y,TT,07201320.jpg,,
643dabf1528fff8354d9e55f,340-03616,340-00466-GS-W-W,GS,340,W,W,34003616.jpg,,
643dabf1528fff8354d9e397,20-08490,20-00007-RHC-Y-TT,RHC,20,Y,TT,02008490.jpg,,
643dabf1528fff8354d9e3b5,30-20696,30-00037-UG-Y-Y,UG,30,Y,Y,03020696.jpg,,
643dabf1528fff8354d9e407,47-04490,47-00119-DP-Y-Y,DP,47,Y,Y,04704490.jpg,,
643dabf1528fff8354d9e4f4,85-30641,85-00356-EMR-Y-Y,EMR,85,Y,Y,08530641.jpg,,
643dabf1528fff8354d9e56e,361-02275,361-00481-SHT-W-W,SHT,361,W,W,36102275.jpg,,
643dabf1528fff8354d9e49c,78-03139,78-00268-EMR-Y-TT,EMR,78,Y,TT,07803139.jpg,,
643dabf1528fff8354d9e535,90-12803,90-00421-SRY-Y-Y,SRY,90,Y,Y,09012803.jpg,,
643dabf1528fff8354d9e45c,70-15972,70-00204-EMR-Y-TT,EMR,70,Y,TT,07015972.jpg,,
